timestamp_sec,elapsed_sec,elapsed_mmss,stage,target_temp_C,actual_temp_C,pid_on_time_s
1761513372.6712523,0.0001277923583984375,00:00,Drying,25.0002023379008,39.75,0
1761513373.172107,0.5009143352508545,00:00,Drying,25.793114364147186,39.25,0
1761513373.6727884,1.0017399787902832,00:01,Drying,26.58608829975128,38.75,0
1761513374.1735654,1.5023887157440186,00:01,Drying,27.378782133261364,38.5,0
1761513374.6743548,2.0031685829162598,00:02,Drying,28.171683589617412,38.25,0
1761513375.1752076,2.5039703845977783,00:02,Drying,28.964619775613148,37.75,0
1761513375.6763551,3.0050346851348877,00:03,Drying,29.757971584796906,37.5,0
1761513376.1770024,3.505969762802124,00:03,Drying,30.551118791103363,37.25,0
1761513376.6778684,4.006603717803955,00:04,Drying,31.343789219856262,36.75,0
1761513377.1787477,4.507472038269043,00:04,Drying,32.136830727259316,36.75,0
1761513377.6799884,5.008394241333008,00:05,Drying,32.92995754877726,36.25,0
1761513378.1817136,5.509753227233887,00:05,Drying,33.72377594312032,35.75,0
1761513378.6828823,6.0114405155181885,00:06,Drying,34.518114149570465,35.5,0
1761513379.1840048,6.512580394744873,00:06,Drying,35.31158562501271,35.25,0.5
1761513379.685781,7.01424503326416,00:07,Drying,36.10588796933492,35.0,0.5
1761513380.1864965,7.5154571533203125,00:07,Drying,36.89947382609049,35.75,0
1761513380.6871738,8.016107082366943,00:08,Drying,37.692169547080994,37.25,0
1761513381.1878526,8.516782522201538,00:08,Drying,38.484905660152435,38.5,0
1761513381.6885467,9.017476558685303,00:09,Drying,39.277671217918396,39.25,0
1761513382.1891873,9.518153429031372,00:09,Drying,40.07040959596634,40.0,0
1761513382.6898527,10.01878809928894,00:10,Drying,40.86308115720749,40.5,0
1761513383.1905339,10.519469022750854,00:10,Drying,41.65582595268886,40.75,0.5
1761513383.691305,11.020167589187622,00:11,Drying,42.4485986828804,40.5,0.5
1761513384.191999,11.520942687988281,00:11,Drying,43.24149258931478,40.75,0.5
1761513384.692689,12.021627187728882,00:12,Drying,44.034243047237396,41.75,0.5
1761513385.1935694,12.522307634353638,00:12,Drying,44.82698708772659,43.0,0
1761513385.6965253,13.025494575500488,00:13,Drying,45.623699744542435,45.25,0
1761513386.1971877,13.526124715805054,00:13,Drying,46.416364133358,47.0,0
1761513386.6978607,14.026792764663696,00:14,Drying,47.20908854405085,48.5,0
1761513387.1985347,14.527464866638184,00:14,Drying,48.001819372177124,49.0,0
1761513387.699208,15.028142929077148,00:15,Drying,48.79455963770548,49.5,0
1761513388.2032194,15.52882194519043,00:15,Drying,49.58730141321818,49.25,0.5
1761513388.7039073,16.032840967178345,00:16,Drying,50.38533153136571,49.25,0.5
1761513389.2045662,16.533514499664307,00:16,Drying,51.17806462446849,49.5,0.5
1761513389.7052195,17.034193515777588,00:17,Drying,51.970806399981186,50.75,0
1761513390.2058866,17.534832239151,00:17,Drying,52.763484378655754,52.5,0
1761513390.7070508,18.03561782836914,00:18,Drying,53.5563948949178,54.0,0
1761513391.2079268,18.536725997924805,00:18,Drying,54.349816163380936,54.75,0
1761513391.7091558,19.037720918655396,00:19,Drying,55.143058121204376,54.75,0.5
1761513392.2101002,19.5388400554657,00:19,Drying,55.93649675448736,54.25,0.5
1761513392.7113895,20.039867639541626,00:20,Drying,56.729790429274246,54.25,0.5
1761513393.2123935,20.541074514389038,00:20,Drying,57.523367981115975,54.25,0.5
1761513393.7132463,21.042009592056274,00:21,Drying,58.31651518742243,54.75,0.5
1761513394.2138846,21.542860507965088,00:21,Drying,59.10952913761139,56.0,0.5
1761513394.7145193,22.043492317199707,00:22,Drying,59.902196168899536,57.75,0
1761513395.21538,22.544129848480225,00:22,Drying,60.69487226009369,60.0,0
1761513395.716354,23.0449960231781,00:23,Drying,61.487910370032,61.5,0
1761513396.2172225,23.545978546142578,00:23,Drying,62.28113269805908,62.75,0
1761513396.7179995,24.046828985214233,00:24,Drying,63.07414589325587,63.5,0
1761513397.2188578,24.547614336013794,00:24,Drying,63.86705603202184,63.25,0.5
1761513397.7202072,25.048486709594727,00:25,Drying,64.66010395685831,62.75,0.5
1761513398.2214363,25.549909591674805,00:25,Drying,65.45402352015176,62.75,0.5
1761513398.723144,26.051196336746216,00:26,Drying,66.24772753318152,62.75,0.5
1761513399.2250628,26.55290174484253,00:26,Drying,67.04209442933401,63.5,0.5
1761513399.7268302,27.054802179336548,00:27,Drying,67.83677011728287,64.75,0.5
1761513400.2277331,27.556570768356323,00:27,Drying,68.63123704989752,65.75,0.5
1761513400.728964,28.057399034500122,00:28,Drying,69.42421513795853,67.0,0
1761513401.2299147,28.55864953994751,00:28,Drying,70.21786177158356,68.5,0
1761513401.7306175,29.05955719947815,00:29,Drying,71.01096556584041,69.0,0.5
1761513402.2312915,29.560232639312744,00:29,Drying,71.80370167891185,69.5,0.5
1761513402.7319746,30.060910940170288,00:30,Drying,72.5964423219363,70.0,0.5
1761513403.2326722,30.56161117553711,00:30,Drying,73.38921769460043,70.5,0.5
1761513403.733351,31.062278985977173,00:31,Drying,74.18194172779718,71.5,0.5
1761513404.2340152,31.562958240509033,00:31,Drying,74.97468388080597,73.0,0
1761513404.7346988,32.063621282577515,00:32,Drying,75.76740036408107,74.25,0
1761513405.235347,32.56431603431702,00:32,Drying,76.56016705433527,75.0,0.34349318508277094
1761513405.7363298,33.065075397491455,00:33,Drying,77.35303604602814,75.25,0.5
1761513406.237187,33.56595182418823,00:33,Drying,78.14609038829803,75.25,0.5
